Id,Start,Name,Impact,Currency
d4720e81-a24e-40a9-9b1a-3f4066dfadce,11/1/2023 12:15,ADP Employment Change,HIGH,USD
796dd4d3-5a03-4c89-b252-e9d61a5c723a,11/1/2023 14:00,ISM Manufacturing PMI,HIGH,USD
eef432f1-deec-4d79-b6ea-653be4979124,11/1/2023 18:00,Fed Interest Rate Decision,HIGH,USD
083a2802-4561-49d5-b869-5991bb1a4833,11/1/2023 18:00,Fed Monetary Policy Statement,HIGH,USD
00880780-79ae-4bf3-84f4-4dc8e09fa1ed,11/1/2023 18:30,FOMC Press Conference,HIGH,USD
f3111b22-f44a-4298-a51f-309ba716f529,11/3/2023 12:30,Average Hourly Earnings (MoM),HIGH,USD
ae3148ff-3760-4c93-902d-c79fd7a68dea,11/3/2023 12:30,Average Hourly Earnings (YoY),HIGH,USD
4a570a5e-82b9-404e-aceb-fa731384690f,11/3/2023 12:30,Nonfarm Payrolls,HIGH,USD
9abd3965-c2b6-410e-9b64-f5a6d1f9c1b4,11/3/2023 14:00,ISM Services PMI,HIGH,USD
40e04a22-96da-4158-a73d-7b4412275d8a,11/7/2023 12:30,Fed's Kashkari speech,HIGH,USD
e00dbcb4-fd18-4463-a7e5-923647bc8703,11/7/2023 13:00,Fed's Goolsbee speech,HIGH,USD
67b0d87f-8611-4518-9a08-01d1feb59f4f,11/7/2023 18:25,Fed's Logan speech,HIGH,USD
deafd292-b2e6-4afd-a844-10b9323e64cf,11/8/2023 14:15,Fed's Chair Powell speech,HIGH,USD
87dd84bf-b250-4879-9f68-a8503a0c6621,11/9/2023 19:00,Fed's Chair Powell speech,HIGH,USD
406d86fa-c159-41d8-9cbe-4d566205ebdc,11/10/2023 15:00,Michigan Consumer Sentiment Index,HIGH,USD
a249d360-98d8-4f87-9e9c-598c7da033c5,11/14/2023 13:30,Consumer Price Index (MoM),HIGH,USD
8f197ee2-9cc9-43bc-ad8b-b21233ad4936,11/14/2023 13:30,Consumer Price Index (YoY),HIGH,USD
148bbbb8-00ca-4587-8aa9-35a6c0741a1a,11/14/2023 13:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
ae7ed679-bcbb-4ad1-b722-ea0cc976a49e,11/14/2023 13:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
5bb4e65a-39c9-4617-9c7d-4027fe91a1f0,11/15/2023 13:30,Producer Price Index ex Food & Energy (YoY),HIGH,USD
67581150-c617-46da-bd74-f83d93aeb93a,11/15/2023 13:30,Retail Sales (MoM),HIGH,USD
1a0ddb33-26c4-44e9-832a-3139eba1a7d2,11/15/2023 13:30,Retail Sales Control Group,HIGH,USD
5794d4d1-7965-4ca7-961d-12eeeb92d6c3,11/21/2023 19:00,FOMC Minutes,HIGH,USD
58dd275c-a7c5-4a39-8928-a96c2cc351be,11/24/2023 14:45,S&P Global Manufacturing PMI,HIGH,USD
a82a195e-48c0-445f-bd38-d00de8dd7177,11/24/2023 14:45,S&P Global Services PMI,HIGH,USD
168f998b-8f1f-48f7-9eb2-b7fabfe6724f,11/29/2023 13:30,Gross Domestic Product Annualized,HIGH,USD
6e3cb53e-039a-4811-9654-b65a3f00acc3,11/30/2023 13:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
7b29746b-52df-48ac-87c3-dad466ffbc65,11/30/2023 13:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
337b6e1f-c1ac-443b-9fcc-e2b94b1c4a1b,12/1/2023 15:00,ISM Manufacturing PMI,HIGH,USD
a3600c8e-6f2f-4fc6-a81e-201075552ec8,12/1/2023 16:00,Fed's Chair Powell speech,HIGH,USD
5bbe68e4-d502-40b5-bc6d-31c5184958e0,12/1/2023 19:00,Fed's Chair Powell speech,HIGH,USD
7d2b7059-2ca7-414b-8cd3-d94512c4976a,12/5/2023 15:00,ISM Services PMI,HIGH,USD
4eb66893-fedb-4175-8405-7455e6edc567,12/6/2023 13:15,ADP Employment Change,HIGH,USD
8d75a420-1fe6-40b7-a316-78fd100653a6,12/8/2023 13:30,Average Hourly Earnings (MoM),HIGH,USD
222e9603-ddc8-4b56-8df7-657930c30d1a,12/8/2023 13:30,Average Hourly Earnings (YoY),HIGH,USD
2cca1981-32a4-4f6e-abed-ad178efe70ee,12/8/2023 13:30,Nonfarm Payrolls,HIGH,USD
99ac86b6-5cbb-434d-99b1-229a259580f8,12/8/2023 15:00,Michigan Consumer Sentiment Index,HIGH,USD
fdbd79b6-53ca-43e5-a22a-94908b09b1a5,12/12/2023 13:30,Consumer Price Index (MoM),HIGH,USD
c29a5acf-fab8-41f2-8012-bfb66286847a,12/12/2023 13:30,Consumer Price Index (YoY),HIGH,USD
